Name,代码,粉丝数
长江实业 ,(HK:00001),1563
中电控股 ,(HK:00002),209
香港中华煤气 ,(HK:00003),266
九龙仓集团 ,(HK:00004),313
汇丰控股 ,(HK:00005),1905
电能实业 ,(HK:00006),243
凯富能源 ,(HK:00007),52
电讯盈科 ,(HK:00008),291
长和国际实业 ,(HK:00009),61
恒隆集团 ,(HK:00010),138
恒生银行 ,(HK:00011),601
恒基地产 ,(HK:00012),244
和记黄埔 ,(HK:00013),1425
希慎兴业 ,(HK:00014),79
盈信控股 ,(HK:00015),102
新鸿基地产 ,(HK:00016),480
新世界发展 ,(HK:00017),240
东方报业集团 ,(HK:00018),64
太古股份公司Α ,(HK:00019),125
会德丰 ,(HK:00020),107
大中华地产控股 ,(HK:00021),34
茂盛控股 ,(HK:00022),29
东亚银行 ,(HK:00023),167
宝威控股 ,(HK:00024),172
其士国际集团 ,(HK:00025),37
中华汽车 ,(HK:00026),99
银河娱乐 ,(HK:00027),2232
天安 ,(HK:00028),30
达力集团 ,(HK:00029),48
佳讯控股 ,(HK:00030),98
航天控股 ,(HK:00031),278
港通控股 ,(HK:00032),56
和协海峡金融集团 ,(HK:00033),63
九龙建业 ,(HK:00034),38
FECONSORTINTL ,(HK:00035),30
远东控股国际 ,(HK:00036),83
远东酒店实业 ,(HK:00037),30
第一拖拉机股份 ,(HK:00038),325
中国酿酒集团 ,(HK:00039),46
金山工业 ,(HK:00040),28
鹰君 ,(HK:00041),49
东北电气 ,(HK:00042),155
卜蜂国际 ,(HK:00043),76
香港飞机工程 ,(HK:00044),52
大酒店 ,(HK:00045),57
科联系统 ,(HK:00046),53
合兴集团 ,(HK:00047),109
中国汽车内饰 ,(HK:00048),60
香港小轮（集团） ,(HK:00050),43
海港企业 ,(HK:00051),24
大快活集团 ,(HK:00052),180
国浩集团 ,(HK:00053),41
合和实业 ,(HK:00054),73
中星集团控股 ,(HK:00055),69
联合地产（香港） ,(HK:00056),34
震雄集团 ,(HK:00057),43
新威国际 ,(HK:00058),13
天誉置业 ,(HK:00059),23
香港食品投资 ,(HK:00060),100
北亚资源 ,(HK:00061),49
载通 ,(HK:00062),16
荣丰国际 ,(HK:00063),11
结好控股 ,(HK:00064),92
弘海有限公司 ,(HK:00065),33
港铁公司 ,(HK:00066),211
旭光高新材料 ,(HK:00067),504
利兴发展 ,(HK:00068),38
香格里拉（亚洲） ,(HK:00069),198
海王集团 ,(HK:00070),233
美丽华酒店 ,(HK:00071),48
现代传播 ,(HK:00072),139
亚洲果业 ,(HK:00073),198
长城科技股份 ,(HK:00074),194
渝太地产 ,(HK:00075),14
南海石油 ,(HK:00076),122
进智公共交通 ,(HK:00077),21
富豪酒店国际 ,(HK:00078),44
世纪建业 ,(HK:00079),36
中国新经济投资 ,(HK:00080),38
中国海外宏洋集团 ,(HK:00081),327
第一视频 ,(HK:00082),4069
信和置业 ,(HK:00083),89
宝光实业 ,(HK:00084),139
中国电子 ,(HK:00085),752
新鸿基公司 ,(HK:00086),216
太古股份公司Β ,(HK:00087),55
大昌集团 ,(HK:00088),103
大生地产 ,(HK:00089),13
琥珀能源 ,(HK:00090),83
标准资源控股 ,(HK:00091),84
冠军科技集团 ,(HK:00092),95
添利工业国际 ,(HK:00093),17
绿森集团 ,(HK:00094),48
绿景中国地产 ,(HK:00095),102
友成控股 ,(HK:00096),38
恒基发展 ,(HK:00097),48
兴发铝业 ,(HK:00098),60
王氏国际 ,(HK:00099),40
白马户外媒体 ,(HK:00100),115
恒隆地产 ,(HK:00101),720
凯升控股 ,(HK:00102),254
首长宝佳 ,(HK:00103),21
ASIACOMMHOLD ,(HK:00104),17
凯联国际酒店 ,(HK:00105),25
朗诗绿色地产 ,(HK:00106),253
四川成渝高速公路 ,(HK:00107),229
国锐地产 ,(HK:00108),15
金威资源 ,(HK:00109),40
中国长远 ,(HK:00110),67
信达国际控股 ,(HK:00111),487
勒泰商业地产 ,(HK:00112),20
迪生创建 ,(HK:00113),89
兴利集团 ,(HK:00114),23
钧濠集团 ,(HK:00115),22
周生生 ,(HK:00116),322
宇阳控股 ,(HK:00117),29
大同机械 ,(HK:00118),42
保利置业集团 ,(HK:00119),457
CosmopolitanInt'l ,(HK:00120),35
卜蜂莲花 ,(HK:00121),80
鳄鱼恤 ,(HK:00122),41
越秀地产 ,(HK:00123),324
粤海置地 ,(HK:00124),191
新兴光学 ,(HK:00125),42
佳宁娜 ,(HK:00126),537
华人置业 ,(HK:00127),37
安宁控股 ,(HK:00128),12
泛海集团 ,(HK:00129),58
慕诗国际 ,(HK:00130),69
卓能（集团） ,(HK:00131),13
中国兴业控股 ,(HK:00132),29
招商局中国基金 ,(HK:00133),672
昆仑能源 ,(HK:00135),1038
马斯葛集团 ,(HK:00136),28
金辉集团 ,(HK:00137),38
中建富通 ,(HK:00138),35
中国微电子 ,(HK:00139),144
大中华集团 ,(HK:00141),16
第一太平 ,(HK:00142),101
耀科国际,(控股) (HK:00143),57
招商局国际 ,(HK:00144),313
香港建屋贷款 ,(HK:00145),54
太平地毡国际 ,(HK:00146),53
超越集团 ,(HK:00147),23
建滔化工集团 ,(HK:00148),143
中国农产品交易 ,(HK:00149),118
中国旺旺 ,(HK:00151),999
深圳国际 ,(HK:00152),504
中国赛特 ,(HK:00153),171
北京发展（香港） ,(HK:00154),452
中国源畅 ,(HK:00155),35
力宝华润 ,(HK:00156),148
自然美 ,(HK:00157),123
万邦投资 ,(HK:00158),17
布莱克万矿业 ,(HK:00159),18
汉国置业 ,(HK:00160),20
中航国际控股 ,(HK:00161),447
世纪金花 ,(HK:00162),81
英皇国际 ,(HK:00163),164
中国伽玛 ,(HK:00164),26
中国光大控股 ,(HK:00165),787
新时代能源 ,(HK:00166),81
万威国际 ,(HK:00167),58
青岛啤酒股份 ,(HK:00168),907
万达商业地产 ,(HK:00169),1094
中国资本 ,(HK:00170),304
银建国际 ,(HK:00171),141
金榜集团 ,(HK:00172),180
嘉华国际 ,(HK:00173),116
盛洋投资 ,(HK:00174),40
吉利汽车 ,(HK:00175),2111
联太工业 ,(HK:00176),15
江苏宁沪高速公路 ,(HK:00177),250
莎莎国际 ,(HK:00178),581
德昌电机控股 ,(HK:00179),161
开达集团 ,(HK:00180),44
闽港控股 ,(HK:00181),6
中国风电 ,(HK:00182),867
田生集团 ,(HK:00183),30
激成投资 ,(HK:00184),40
恒辉企业控股 ,(HK:00185),15
嘉域集团 ,(HK:00186),5
京城机电股份 ,(HK:00187),206
新华汇富金融 ,(HK:00188),68
东岳集团 ,(HK:00189),1088
香港建设（控股） ,(HK:00190),44
丽新国际 ,(HK:00191),21
冠中地产 ,(HK:00193),12
廖创兴企业 ,(HK:00194),371
利海资源 ,(HK:00195),58
宏华集团 ,(HK:00196),1088
亨泰 ,(HK:00197),58
星美国际 ,(HK:00198),288
德祥地产 ,(HK:00199),13
新濠国际发展 ,(HK:00200),329
华大地产 ,(HK:00201),22
润中国际控股 ,(HK:00202),97
中国投资开发 ,(HK:00204),85
财讯传媒 ,(HK:00205),148
TSC集团 ,(HK:00206),1349
中粮置地控股 ,(HK:00207),206
保利达资产 ,(HK:00208),28
中国大亨饮品 ,(HK:00209),95
达芙妮国际 ,(HK:00210),1226
大凌集团 ,(HK:00211),44
南洋集团有限公司 ,(HK:00212),42
乐声电子有限公司 ,(HK:00213),28
汇汉控股 ,(HK:00214),17
和记电讯香港 ,(HK:00215),147
建业实业 ,(HK:00216),18
中国诚通发展集团 ,(HK:00217),136
申银万国 ,(HK:00218),409
顺豪科技 ,(HK:00219),30
统一企业中国 ,(HK:00220),910
PNG资源 ,(HK:00221),54
闽信集团 ,(HK:00222),69
神州资源 ,(HK:00223),75
建生国际 ,(HK:00224),36
博富临置业 ,(HK:00225),12
力宝 ,(HK:00226),52
第一上海 ,(HK:00227),190
中能控股 ,(HK:00228),160
利民实业 ,(HK:00229),52
五矿建设 ,(HK:00230),100
盛明国际控股 ,(HK:00231),37
中国航空工业国际 ,(HK:00232),443
铭源医疗 ,(HK:00233),688
新世纪集团 ,(HK:00234),20
中策集团 ,(HK:00235),98
香港生力啤 ,(HK:00236),23
安全货仓 ,(HK:00237),53
长兴国际 ,(HK:00238),86
白花油 ,(HK:00239),87
利基控股 ,(HK:00240),23
中信21世纪 ,(HK:00241),2155
信德集团 ,(HK:00242),122
品质国际集团有限公司 ,(HK:00243),22
先施 ,(HK:00244),28
中国七星控股 ,(HK:00245),60
瑞金矿业 ,(HK:00246),42
尖沙咀置业集团 ,(HK:00247),16
香港通讯国际控股 ,(HK:00248),16
中国数码信息 ,(HK:00250),55
爪哇控股 ,(HK:00251),32
华信地产财务 ,(HK:00252),5
顺豪资源集团 ,(HK:00253),25
国家联合资源 ,(HK:00254),64
龙记集团 ,(HK:00255),77
冠城钟表珠宝 ,(HK:00256),129
中国光大国际 ,(HK:00257),1175
汤臣集团 ,(HK:00258),107
亿都（国际控股） ,(HK:00259),233
中国环投股份 ,(HK:00260),134
中建置地 ,(HK:00261),49
迪臣发展国际 ,(HK:00262),34
中国云锡矿业 ,(HK:00263),50
卓高国际 ,(HK:00264),265
南华集团 ,(HK:00265),46
天德地产 ,(HK:00266),14
中信股份 ,(HK:00267),962
金蝶国际 ,(HK:00268),1609
中国资源交通 ,(HK:00269),145
粤海投资 ,(HK:00270),332
丹枫控股 ,(HK:00271),23
瑞安房地产 ,(HK:00272),359
威利国际 ,(HK:00273),21
中富资源 ,(HK:00274),18
锦兴集团 ,(HK:00275),18
蒙古能源 ,(HK:00276),77
太兴置业 ,(HK:00277),11
华厦置业 ,(HK:00278),13
民丰企业 ,(HK:00279),31
景福集团 ,(HK:00280),71
川河集团 ,(HK:00281),113
壹传媒 ,(HK:00282),160
高银地产 ,(HK:00283),29
比亚迪电子 ,(HK:00285),1737
同佳健康 ,(HK:00286),44
永发置业 ,(HK:00287),7
万洲国际 ,(HK:00288),2251
永安国际有限公司 ,(HK:00289),44
中国富强金融 ,(HK:00290),280
华润创业 ,(HK:00291),653
泛海酒店 ,(HK:00292),25
国泰航空 ,(HK:00293),193
长江制衣 ,(HK:00294),21
江山控股 ,(HK:00295),156
英皇娱乐酒店 ,(HK:00296),463
中化化肥 ,(HK:00297),403
庄士中国 ,(HK:00298),196
中讯软件 ,(HK:00299),70
昆明机床 ,(HK:00300),141
