Name,代码,粉丝数
平安银行 ,(SZ:000001),14329
万科A ,(SZ:000002),38257
国农科技 ,(SZ:000004),795
世纪星源 ,(SZ:000005),617
深振业A ,(SZ:000006),615
零七股份 ,(SZ:000007),521
宝利来 ,(SZ:000008),234
中国宝安 ,(SZ:000009),3430
深华新 ,(SZ:000010),499
深物业A ,(SZ:000011),415
南玻A ,(SZ:000012),2101
沙河股份 ,(SZ:000014),638
深康佳A ,(SZ:000016),749
深中华A ,(SZ:000017),313
中冠A ,(SZ:000018),174
深深宝A ,(SZ:000019),347
深华发A ,(SZ:000020),140
长城开发 ,(SZ:000021),735
深赤湾A ,(SZ:000022),808
深天地A ,(SZ:000023),96
招商地产 ,(SZ:000024),3797
特力A ,(SZ:000025),359
飞亚达A ,(SZ:000026),868
深圳能源 ,(SZ:000027),1005
国药一致 ,(SZ:000028),1919
深深房A ,(SZ:000029),281
富奥股份 ,(SZ:000030),429
中粮地产 ,(SZ:000031),1467
深桑达A ,(SZ:000032),272
*ST新都 ,(SZ:000033),282
深信泰丰 ,(SZ:000034),429
中国天楹 ,(SZ:000035),483
华联控股 ,(SZ:000036),557
深南电A ,(SZ:000037),153
深大通 ,(SZ:000038),246
中集集团 ,(SZ:000039),3875
宝安地产 ,(SZ:000040),155
中洲控股 ,(SZ:000042),302
中航地产 ,(SZ:000043),582
深纺织A ,(SZ:000045),520
泛海控股 ,(SZ:000046),497
康达尔 ,(SZ:000048),268
德赛电池 ,(SZ:000049),3284
深天马A ,(SZ:000050),4819
方大集团 ,(SZ:000055),472
深国商 ,(SZ:000056),615
深赛格 ,(SZ:000058),561
华锦股份 ,(SZ:000059),1394
中金岭南 ,(SZ:000060),1433
农产品 ,(SZ:000061),1437
深圳华强 ,(SZ:000062),1409
中兴通讯 ,(SZ:000063),10080
北方国际 ,(SZ:000065),576
长城电脑 ,(SZ:000066),567
华控赛格 ,(SZ:000068),608
华侨城A ,(SZ:000069),3902
特发信息 ,(SZ:000070),297
海王生物 ,(SZ:000078),1272
盐田港 ,(SZ:000088),1421
深圳机场 ,(SZ:000089),1280
天健集团 ,(SZ:000090),509
广聚能源 ,(SZ:000096),885
中信海直 ,(SZ:000099),1962
TCL集团 ,(SZ:000100),7741
宜华地产 ,(SZ:000150),383
中成股份 ,(SZ:000151),882
丰原药业 ,(SZ:000153),420
川化股份 ,(SZ:000155),451
华数传媒 ,(SZ:000156),3531
中联重科 ,(SZ:000157),5697
常山股份 ,(SZ:000158),315
国际实业 ,(SZ:000159),1051
东方市场 ,(SZ:000301),618
美的集团 ,(SZ:000333),6860
潍柴动力 ,(SZ:000338),4217
许继电气 ,(SZ:000400),3048
冀东水泥 ,(SZ:000401),1187
金融街 ,(SZ:000402),3172
*ST生化 ,(SZ:000403),3178
华意压缩 ,(SZ:000404),750
胜利股份 ,(SZ:000407),634
金谷源 ,(SZ:000408),172
山东地矿 ,(SZ:000409),474
沈阳机床 ,(SZ:000410),1228
英特集团 ,(SZ:000411),313
东旭光电 ,(SZ:000413),3069
渤海租赁 ,(SZ:000415),1365
民生控股 ,(SZ:000416),576
合肥百货 ,(SZ:000417),936
小天鹅A ,(SZ:000418),937
通程控股 ,(SZ:000419),918
吉林化纤 ,(SZ:000420),422
南京中北 ,(SZ:000421),310
湖北宜化 ,(SZ:000422),918
东阿阿胶 ,(SZ:000423),11916
徐工机械 ,(SZ:000425),2065
兴业矿业 ,(SZ:000426),584
