Code,Name,总市值
600000,浦发银行,3389亿
600001,邯郸钢铁,0
600002,齐鲁退市,0
600003,ST东北高,0
600004,白云机场,172亿
600005,武钢股份,653亿
600006,东风汽车,160亿
600007,中国国贸,187亿
600008,首创股份,384亿
600009,上海机场,525亿
600010,包钢股份,1144亿
600011,华能国际,1658亿
600012,皖通高速,148亿
600015,华夏银行,1476亿
600016,民生银行,3648亿
600017,日照港,214亿
600018,上港集团,-
600019,宝钢股份,1523亿
600020,中原高速,175亿
600021,上海电力,472亿
600022,山东钢铁,334亿
600023,浙能电力,1109亿
600026,中海发展,522亿
600027,华电国际,782亿
600028,中国石化,10363亿
600029,南方航空,1092亿
600030,中信证券,3938亿
600031,三一重工,875亿
600033,福建高速,178亿
600035,楚天高速,123亿
600036,招商银行,4650亿
600037,歌华有线,341亿
600038,中直股份,296亿
600039,四川路桥,244亿
600048,保利地产,1507亿
600050,中国联通,2117亿
600051,宁波联合,42亿
600052,浙江广厦,74亿
600053,中江地产,57亿
600054,黄山旅游,100亿
600055,华润万东,83亿
600056,中国医药,209亿
600057,象屿股份,178亿
600058,五矿发展,291亿
600059,古越龙山,113亿
600060,海信电器,356亿
600061,中纺投资,1120亿
600062,华润双鹤,162亿
600063,皖维高新,131亿
600064,南京高科,172亿
600065,*ST联谊,0
600066,宇通客车,473亿
600067,冠城大通,160亿
600068,葛洲坝,653亿
600069,*ST银鸽,54亿
600070,浙江富润,47亿
600071,凤凰光学,55亿
600072,*ST钢构,107亿
600073,上海梅林,128亿
600074,中达股份,294亿
600075,新疆天业,45亿
600076,青鸟华光,19亿
600077,宋都股份,131亿
600078,澄星股份,69亿
600079,人福医药,243亿
600080,金花股份,43亿
600081,东风科技,65亿
600082,海泰发展,58亿
600083,博信股份,26亿
600084,中葡股份,87亿
600085,同仁堂,449亿
600086,东方金钰,148亿
600087,退市长油,28亿
600088,中视传媒,98亿
600089,特变电工,589亿
600090,啤酒花,52亿
600091,ST明科,31亿
600092,S*ST精密,0
600093,禾嘉股份,58亿
600094,大名城,345亿
600095,哈高科,43亿
600096,云天化,187亿
600097,开创国际,36亿
600098,广州发展,314亿
600099,林海股份,29亿
600100,同方股份,592亿
600101,明星电力,45亿
600102,莱钢股份,65亿
600103,青山纸业,68亿
600104,上汽集团,3026亿
600105,永鼎股份,52亿
600106,重庆路桥,89亿
600107,美尔雅,49亿
600108,亚盛集团,222亿
600109,国金证券,722亿
600110,中科英华,105亿
600111,北方稀土,812亿
600112,天成控股,120亿
600113,浙江东日,49亿
600114,东睦股份,71亿
600115,东方航空,1139亿
600116,三峡水利,72亿
600117,西宁特钢,55亿
600118,中国卫星,490亿
600119,长江投资,76亿
600120,浙江东方,172亿
600121,郑州煤电,82亿
600122,宏图高科,181亿
600123,兰花科创,137亿
600125,铁龙物流,183亿
600126,杭钢股份,91亿
600127,金健米业,53亿
600128,弘业股份,44亿
600129,太极集团,72亿
600130,波导股份,76亿
600131,岷江水电,50亿
600132,重庆啤酒,122亿
600133,东湖高新,86亿
600135,乐凯胶片,60亿
600136,道博股份,41亿
600137,浪莎股份,26亿
600138,中青旅,188亿
600139,西部资源,114亿
600141,兴发集团,96亿
600143,金发科技,255亿
600145,*ST国创,25亿
600146,大元股份,48亿
600148,长春一东,39亿
600149,廊坊发展,90亿
600150,中国船舶,822亿
600151,航天机电,204亿
600152,维科精华,38亿
600153,建发股份,456亿
600155,宝硕股份,71亿
600156,华升股份,50亿
600157,永泰能源,707亿
600158,中体产业,212亿
600159,大龙地产,56亿
600160,巨化股份,177亿
600161,天坛生物,206亿
600162,香江控股,81亿
600163,*ST南纸,64亿
600165,新日恒力,53亿
600166,福田汽车,295亿
600167,联美控股,42亿
600168,武汉控股,119亿
600169,太原重工,256亿
600170,上海建工,610亿
600171,上海贝岭,132亿
600172,黄河旋风,84亿
600173,卧龙地产,73亿
600175,美都能源,209亿
600176,中国巨石,220亿
600177,雅戈尔,477亿
600178,东安动力,50亿
600179,黑化股份,32亿
600180,瑞茂通,267亿
600181,*ST云大,0
600182,S佳通,78亿
600183,生益科技,146亿
600184,光电股份,117亿
600185,格力地产,158亿
600186,莲花味精,86亿
600187,国中水务,132亿
600188,兖州煤业,866亿
600189,吉林森工,37亿
600190,锦州港,147亿
600191,华资实业,56亿
600192,长城电工,63亿
600193,创兴资源,58亿
600195,中牧股份,107亿
600196,复星医药,655亿
600197,伊力特,70亿
600198,大唐电信,241亿
600199,金种子酒,72亿
600200,江苏吴中,137亿
600201,金宇集团,176亿
600202,哈空调,51亿
600203,福日电子,60亿
600205,S山东铝,0
600206,有研新材,144亿
600207,安彩高科,62亿
600208,新湖中宝,740亿
600209,罗顿发展,45亿
600210,紫江企业,115亿
600211,西藏药业,65亿
600212,江泉实业,51亿
600213,亚星客车,32亿
600215,长春经开,49亿
600216,浙江医药,139亿
600217,*ST秦岭,86亿
600218,全柴动力,57亿
600219,南山铝业,362亿
600220,江苏阳光,123亿
600221,海南航空,750亿
600222,太龙药业,71亿
600223,鲁商置业,95亿
600225,天津松江,94亿
600226,升华拜克,58亿
600227,赤天化,84亿
600228,昌九生化,44亿
600229,青岛碱业,67亿
600230,沧州大化,45亿
600231,凌钢股份,52亿
600232,金鹰股份,23亿
600233,大杨创世,37亿
600234,山水文化,33亿
600235,民丰特纸,40亿
600236,桂冠电力,176亿
600237,铜峰电子,58亿
600238,海南椰岛,73亿
600239,云南城投,99亿
600240,华业地产,260亿
600241,时代万恒,24亿
600242,中昌海运,39亿
600243,青海华鼎,30亿
600246,万通地产,64亿
600247,*ST成城,56亿
600248,延长化建,61亿
600249,两面针,62亿
600250,南纺股份,26亿
600251,冠农股份,104亿
600252,中恒集团,281亿
600253,天方药业,26亿
600255,鑫科材料,140亿
600256,广汇能源,585亿
600257,大湖股份,48亿
600258,首旅酒店,43亿
600259,广晟有色,164亿
600260,凯乐科技,78亿
600261,阳光照明,128亿
600262,北方股份,56亿
600263,路桥建设,398亿
600265,ST景谷,20亿
600266,北京城建,362亿
600267,海正药业,227亿
600268,国电南自,76亿
600269,赣粤高速,165亿
600270,外运发展,263亿
600271,航天信息,514亿
600272,开开实业,44亿
600273,嘉化能源,198亿
600275,武昌鱼,45亿
600276,恒瑞医药,861亿
600277,亿利能源,253亿
600278,东方创业,97亿
600279,重庆港九,82亿
600280,中央商场,108亿
600281,太化股份,47亿
600282,南钢股份,244亿
600283,钱江水利,66亿
600284,浦东建设,120亿
600285,羚锐制药,64亿
600286,S*ST国瓷,0
600287,江苏舜天,67亿
600288,大恒科技,126亿
600289,亿阳信通,117亿
600290,华仪电气,75亿
600291,西水股份,107亿
600292,中电远达,195亿
600293,三峡新材,24亿
600295,鄂尔多斯,128亿
600296,S兰铝,0
600297,美罗药业,85亿
600298,安琪酵母,88亿
600299,蓝星新材,93亿
600300,维维股份,132亿
600301,*ST南化,28亿
600302,标准股份,39亿
600303,曙光股份,49亿
600305,恒顺醋业,81亿
600306,商业城,31亿
600307,酒钢宏兴,374亿
600308,华泰股份,74亿
600309,万华化学,576亿
600310,桂东电力,73亿
600311,荣华实业,61亿
600312,平高电气,261亿
600313,农发种业,65亿
600315,上海家化,327亿
600316,洪都航空,263亿
600317,营口港,447亿
600318,巢东股份,77亿
600319,亚星化学,31亿
600320,振华重工,428亿
600321,国栋建设,109亿
600322,天房发展,78亿
600323,瀚蓝环境,153亿
600325,华发股份,128亿
600326,西藏天路,84亿
600327,大东方,69亿
600328,兰太实业,53亿
600329,中新药业,167亿
600330,天通股份,133亿
600331,宏达股份,188亿
600332,白云山,490亿
600333,长春燃气,60亿
600335,国机汽车,181亿
600336,澳柯玛,61亿
600337,美克家居,104亿
600338,西藏珠峰,30亿
600339,天利高新,56亿
600340,华夏幸福,813亿
600343,航天动力,160亿
600345,长江通信,43亿
600346,大橡塑,46亿
600348,阳泉煤业,278亿
600350,山东高速,383亿
600351,亚宝药业,97亿
600352,浙江龙盛,492亿
600353,旭光股份,48亿
600354,敦煌种业,51亿
600355,精伦电子,37亿
600356,恒丰纸业,31亿
600357,承德钒钛,0
600358,国旅联合,63亿
600359,新农开发,56亿
600360,华微电子,59亿
600361,华联综超,64亿
600362,江西铜业,835亿
600363,联创光电,79亿
600365,通葡股份,32亿
600366,宁波韵升,148亿
600367,红星发展,46亿
600368,五洲交通,74亿
600369,西南证券,742亿
600370,三房巷,36亿
600371,万向德农,51亿
600372,中航电子,627亿
600373,中文传媒,282亿
600375,华菱星马,85亿
600376,首开股份,287亿
600377,宁沪高速,465亿
600378,天科股份,53亿
600379,宝光股份,37亿
600380,健康元,342亿
600381,贤成矿业,240亿
600382,广东明珠,59亿
600383,金地集团,555亿
600385,ST金泰,27亿
600386,北巴传媒,63亿
600387,海越股份,88亿
600388,龙净环保,200亿
600389,江山股份,68亿
600390,金瑞科技,65亿
600391,成发科技,183亿
600392,盛和资源,132亿
600393,东华实业,34亿
600395,盘江股份,236亿
600396,金山股份,76亿
600397,安源煤业,99亿
600398,海澜之家,739亿
600399,抚顺特钢,176亿
600400,红豆股份,61亿
600401,*ST海润,171亿
600403,大有能源,206亿
600405,动力源,59亿
600406,国电南瑞,600亿
600408,安泰集团,62亿
600409,三友化工,197亿
600410,华胜天成,228亿
600415,小商品城,711亿
600416,湘电股份,137亿
600418,江淮汽车,205亿
600419,天润乳业,25亿
600420,现代制药,112亿
600421,仰帆控股,31亿
600422,昆药集团,119亿
600423,柳化股份,41亿
600425,青松建化,138亿
600426,华鲁恒升,141亿
600428,中远航运,204亿
600429,三元股份,173亿
600432,吉恩镍业,308亿
600433,冠豪高新,233亿
600435,北方导航,261亿
600436,片仔癀,221亿
600438,通威股份,88亿
600439,瑞贝卡,68亿
600444,*ST国通,19亿
600446,金证股份,403亿
600448,华纺股份,38亿
600449,宁夏建材,70亿
600452,涪陵电力,34亿
