Code,Name,港股市值
00001,长江实业,3050亿
00002,中电控股,1656亿
00003,香港中华煤气,1850亿
00004,九龙仓集团,1678亿
00005,汇丰控股,14423亿
00006,电能实业,1610亿
00007,凯富能源,14亿
00008,电讯盈科,405亿
00009,长和国际实业,10亿
00010,恒隆集团,478亿
00011,恒生银行,2431亿
00012,恒基地产,1551亿
00013,和记黄埔,3824亿
00014,希慎兴业,374亿
00015,盈信控股,9亿
00016,新鸿基地产,3201亿
00017,新世界发展,771亿
00018,东方报业集团,20亿
00019,太古股份公司A,920亿
00020,会德丰,749亿
00021,大中华地产控股,9亿
00022,茂盛控股,4亿
00023,东亚银行,712亿
00024,宝威控股,15亿
00025,CHEVALIERINTL,40亿
00026,中华汽车,41亿
00027,银河娱乐,2039亿
00028,天安,75亿
00029,达力集团,6亿
00030,佳讯控股,2亿
00031,航天控股,30亿
00032,港通控股,26亿
00033,和协海峡金融集团,3亿
00034,九龙建业,104亿
00035,FECONSORTINTL,49亿
00036,远东控股国际,3亿
00037,远东酒店实业,2亿
00038,第一拖拉机股份,23亿
00039,中国酿酒集团,8亿
00040,金山工业,6亿
00041,鹰君,171亿
00042,东北电气,5亿
00043,卜蜂国际,190亿
00044,香港飞机工程,145亿
00045,大酒店,182亿
00046,科联系统,6亿
00047,合兴集团,14亿
00050,香港小轮（集团）,30亿
00051,海港企业,97亿
00052,FAIRWOODHOLD,23亿
00053,国浩集团,296亿
00054,合和实业,243亿
00055,中星集团控股,2亿
00056,联合地产（香港）,102亿
00057,震雄集团,13亿
00058,新威国际,4亿
00059,天誉置业,16亿
00060,香港食品投资,2亿
00061,北亚资源,9亿
00062,载通,67亿
00063,荣丰国际,6亿
00064,结好控股,16亿
00065,弘海有限公司,3亿
00066,港铁公司,1840亿
00067,旭光高新材料,Error
00068,利兴发展,14亿
00069,香格里拉（亚洲）,389亿
00070,海王集团,6亿
00071,美丽华酒店,55亿
00072,现代传播,7亿
00073,亚洲果业,9亿
00074,长城科技股份,Error
00075,渝太地产,18亿
00076,南海石油,4亿
00077,进智公共交通,3亿
00078,REGALINTL,45亿
00079,世纪建业,1亿
00081,中国海外宏洋集团,90亿
00082,第一视频,22亿
00083,信和置业,756亿
00084,宝光实业,18亿
00085,中国电子,37亿
00086,新鸿基公司,137亿
00087,太古股份公司B,559亿
00088,TAICHEUNGHOLD,39亿
00089,大生地产,10亿
00090,琥珀能源,3亿
00091,骏新能源,13亿
00092,CHAMPIONTECH,10亿
00093,TERMBRAYIND,15亿
00094,绿森集团,6亿
00095,新泽控股,29亿
00096,YUSEI,3亿
00097,恒基发展,20亿
00098,兴发铝业,7亿
00099,王氏国际,11亿
00100,白马户外媒体,42亿
00101,恒隆地产,973亿
00102,凯升控股,59亿
00103,首长宝佳,6亿
00104,ASIACOMMHOLD,3亿
00105,凯联国际酒店,80亿
00106,深圳科技,20亿
00107,四川成渝高速公路,29亿
00108,建懋国际,10亿
00109,金威资源,8亿
00110,中国长远,3亿
00111,信达国际控股,11亿
00112,至祥置业,8亿
00113,迪生创建,14亿
00114,HERALDHOLD,5亿
00115,钧濠集团,2亿
00116,周生生,136亿
00117,宇阳控股,3亿
00118,大同机械,4亿
00119,保利置业集团,109亿
00120,COSMOPOLINTL,7亿
00121,卜蜂莲花,18亿
00122,鳄鱼恤,4亿
00123,越秀地产,183亿
00124,金威啤酒,29亿
00125,新兴光学,6亿
00126,TAKSINGALLI,13亿
00127,华人置业,519亿
00128,安宁控股,7亿
00129,泛海集团,22亿
00130,慕诗国际,4亿
00131,卓能(集团),30亿
00132,中国兴业控股,8亿
00135,昆仑能源,574亿
00136,马斯葛集团,35亿
00137,金辉集团,6亿
00138,CCTTELECOM,7亿
00139,中国微电子,4亿
00141,大中华集团,5亿
00142,第一太平,333亿
00143,GLOBALTECH,3亿
00144,招商局国际,684亿
00145,香港建屋贷款,4亿
00146,TAIPINGCARPET,4亿
00147,超越集团,62亿
00148,KINGBOARDCHEM,136亿
00149,中国农产品交易,4亿
00151,中国旺旺,1322亿
00152,深圳国际,219亿
00153,中国赛特,9亿
00154,北京发展（香港）,33亿
00155,中国源畅,Error
00156,力宝华润,24亿
00157,自然美,13亿
00158,万邦投资,34亿
00159,布莱克万矿业,22亿
00160,汉国置业,19亿
00161,中航国际控股,13亿
00162,世纪金花,13亿
00163,英皇国际,64亿
00164,中国伽玛,10亿
00165,中国光大控股,314亿
00166,新时代能源,3亿
00167,IDTINTL,12亿
00168,青岛啤酒股份,359亿
00169,恒力商业地产,78亿
00171,银建国际,26亿
00172,金榜集团,9亿
00173,嘉华国际,120亿
00174,盛洋投资,6亿
00175,吉利汽车,280亿
00176,联太工业,7亿
00177,江苏宁沪高速公路,111亿
00178,莎莎国际,165亿
00179,德昌电机控股,256亿
00180,开达集团,7亿
00181,闽港控股,3亿
00182,中国风电,40亿
00183,田生集团,13亿
00184,激成投资,23亿
00185,特速集团,10亿
00186,GRANDEHOLDINGS,Error
00187,北人印刷机械股份,3亿
00188,新华汇富金融,9亿
00189,东岳集团,60亿
00190,香港建设(控股),23亿
00191,丽新国际,19亿
00193,冠中地产,4亿
00194,廖创兴企业,36亿
00195,利海资源,16亿
00196,宏华集团,32亿
00197,亨泰,7亿
00198,星美国际,27亿
00199,德祥地产,29亿
00200,新濠国际发展,274亿
00201,华大地产,30亿
00202,国中控股,24亿
00205,财讯传媒,7亿
00206,TSC集团,13亿
00207,侨福企业,144亿
00208,保利达资产,48亿
00209,中国大亨饮品,6亿
00210,达芙妮国际,50亿
00211,STYLANDHOLD,10亿
00212,NANYANGHOLD,17亿
00213,NATIONALELECH,9亿
00214,汇汉控股,13亿
00215,和记电讯香港,149亿
00216,建业实业,6亿
00217,中国诚通发展集团,25亿
00218,申银万国,67亿
00219,顺豪科技,9亿
00220,统一企业中国,294亿
00221,PNG资源,2亿
00222,闽信集团,25亿
00223,神州资源,10亿
00224,建生国际,15亿
00225,博富临置业,13亿
00226,力宝,20亿
00227,第一上海,27亿
00228,中能控股,20亿
00229,利民实业,4亿
00230,五矿建设,29亿
00231,盛明国际控股,31亿
00232,中国航空工业国际,30亿
00233,铭源医疗,8亿
00234,新世纪集团,9亿
00235,中策集团,8亿
00236,香港生力啤,5亿
00237,安全货仓,16亿
00238,长兴国际,7亿
00239,白花油,10亿
00240,利基控股,4亿
00241,中信21世纪,441亿
00242,信德集团,112亿
00243,QPLINTL,2亿
00244,先施,3亿
00245,中国七星购物,6亿
00246,瑞金矿业,Error
00247,TSTPROPERTIES,311亿
00248,香港通讯国际控股,2亿
00250,中国数码信息,9亿
00251,爪哇控股,34亿
00252,华信地产财务,6亿
00253,顺豪资源集团,5亿
00254,中国户外媒体集团,6亿
00255,龙记集团,14亿
00256,中国海淀,41亿
00257,中国光大国际,512亿
00258,汤臣集团,29亿
00259,亿都(国际控股),12亿
00260,中国环投股份,11亿
00261,中建科技国际,11亿
00262,迪臣发展国际,5亿
00263,中国云锡矿业,1亿
00264,卓高国际,2亿
00265,南华集团,9亿
00266,天德地产,44亿
00267,中信泰富,3342亿
00268,金蝶国际,62亿
00269,中国资源交通,42亿
00270,粤海投资,666亿
00271,丹枫控股,9亿
00272,瑞安房地产,144亿
00273,威利国际,393亿
00274,中富资源,Error
00275,锦兴集团,4亿
00276,蒙古能源,7亿
00277,太兴置业,19亿
00278,华厦置业,6亿
00279,民丰企业,16亿
00280,景福集团,5亿
00281,川河集团,9亿
00282,壹传媒,15亿
00283,高银地产,159亿
00285,比亚迪电子,180亿
00286,金匡企业,12亿
00287,永发置业,3亿
00289,WINGONCO,67亿
00290,中国富强金融,5亿
00291,华润创业,377亿
00292,泛海酒店,17亿
00293,国泰航空,682亿
00294,长江制衣,5亿
00295,江山控股,98亿
00296,英皇娱乐酒店,28亿
00297,中化化肥,91亿
00298,庄士中国,8亿
00299,中讯软件,18亿
00300,昆明机床,5亿
00302,永亨银行,Error
00303,VTECHHOLDINGS,270亿
00305,五菱汽车,9亿
00306,冠忠巴士集团,17亿
00307,优派能源发展,24亿
00308,香港中旅,151亿
00309,新华通讯频媒,3亿
00311,联泰控股,15亿
00312,岁宝百货,9亿
00313,裕田中国,12亿
00315,数码通电讯,120亿
00316,东方海外国际,272亿
00317,广州广船国际股份,139亿
00318,黄河实业,6亿
00319,勤美达国际,25亿
00320,金宝通,8亿
00321,德永佳集团,92亿
00322,康师傅控股,955亿
00323,马鞍山钢铁股份,38亿
00325,创生控股,Error
00326,中国星集团,22亿
00327,百富环球,91亿
00328,ALCOHOLDINGS,9亿
00329,叁龙国际,14亿
00330,思捷环球,176亿
00331,春天百货,Error
00332,NGAILIKIND,32亿
00333,黛丽斯国际,4亿
00334,唯冠国际,Error
00335,美建集团,18亿
00336,华宝国际,199亿
00337,盛高置地,32亿
00338,上海石油化工股份,79亿
00340,中国矿业,6亿
