Code,Name,总市值
SINA,新浪,24亿
SOHU,搜狐,18亿
NTES,网易,129亿
BIDU,百度,802亿
NCTY,第九城市,4358万
PWRD,完美世界,7亿
KZ,空中网,2亿
JRJC,金融界,1亿
CTRP,携程网,58亿
JOBS,前程无忧,9亿
LONG,艺龙,5亿
UTSI,UT斯达康,1亿
CNTF,泰克飞石,6404万
SMI,中芯国际,33亿
VIMC,中星微电,1亿
ACTS,炬力,1亿
EDU,新东方,32亿
HMIN,如家快捷,13亿
VISN,华视传媒,4835万
EJ,易居中国,11亿
AMCN,航美传媒,1亿
ACH,中国铝业,57亿
CEO,中海油,566亿
CYD,玉柴国际,6亿
GSH,广深铁路,31亿
CHL,中移动,2391亿
LFC,中国人寿,301亿
SORL,瑞立集团,7490万
CHA,中国电信,451亿
MR,迈瑞,32亿
SNP,中石化,234亿
SHI,上石化,31亿
YZC,兖州煤业,39亿
CEA,东方航空,64亿
EFUT,富基旋风,1749万
HNP,华能电力,178亿
JST,海南金盘,1亿
ZNH,南方航空,48亿
WX,药明康德,24亿
NPD,深圳海王,1亿
CSIQ,阿特斯,9亿
CBAK,比克电池,2649万
CAAS,中汽系统,1亿
CHNR,中国天然,7568万
NDAC,新龙亚洲,Error
FFHL,富维薄膜,1071万
NTE,南太电子,Error
DL,正保教育,6亿
NED,诺亚舟,1亿
STV,永新视博,2亿
XIN,鑫苑置业,1亿
ATV,橡果国际,4590万
GRO,中冠农业,5981万
GSI,通用钢铁,3908万
SOL,昱辉阳光,1亿
TSL,天合光能,6亿
WH,WSP控股,1369万
YGE,英利,3亿
CSUN,中电光伏,1900万
CISG,泛华保险,3亿
HIMX,奇景光电,13亿
JASO,晶澳太阳,4亿
OIIM,凹凸科技,6414万
SIMO,慧荣科技,8亿
HSOL,韩华新能,1亿
PTR,中石油,251亿
CHU,中国联通,70亿
ASX,日月光半,91亿
AUO,友达光电,44亿
TSM,台积电,1109亿
UMC,联电,56亿
SPIL,矽品,45亿
GIGM,和信超媒,5277万
CYOU,畅游,12亿
GAME,盛大游戏,17亿
CTC,21世纪不,1145万
HTHT,华住酒店,14亿
CHT,中华电信,226亿
SYUT,圣元国际,2亿
KUTV,酷6网,4730万
CCGM,联游网络,140万
SFUN,搜房网,31亿
DYNP,多元印刷,1405万
CCSC,乡村基,1亿
MY,明阳风电,2亿
CCIH,蓝汛,2亿
XRS,好未来,22亿
MCOX,麦考林,4450万
GAGA,利农国际,1亿
XUE,学大教育,1亿
NOAH,诺亚财富,10亿
BITA,易车网,29亿
XNY,希尼亚,3131万
KNDI,康迪车业,5亿
CHOP,河南鸽瑞,1亿
EDS,喜得龙,4938万
CNET,中网在线,2506万
ATAI,ATA公司,7882万
THTI,巨元瀚洋,2311万
OINK,丰泽农牧,3912万
LIWA,利华国际,89万
YUII,山东昱合,20万
CHLN,中华地产,2714万
HEAT,太宇机电,33万
TXIC,同心国际,143万
JKS,晶科能源,5亿
SUTR,森特集团,2650万
RINO,绿诺科技,Error
DQ,大全新能,1亿
CRTP,瑞达电源,Error
CHBT,中国生物,Error
HGSH,汉广厦房,2亿
SEED,奥瑞金种,2933万
BEST,赛诺国际,798万
WATG,万得汽车,Error
YOKU,优酷土豆,37亿
DANG,当当,7亿
BONA,博纳影业,3亿
MOBI,斯凯,1亿
LAS,联拓,1亿
CNYD,易达控股,1170万
CCME,中国高速,Error
FUQI,福麒国际,Error
GSOL,环球资源,2亿
GURE,海湾资源,4104万
CAST,双威教育,Error
CADC,新奥混凝,1021万
JFC,JF中国基,1亿
WUHN,武汉通用,678万
FEED,艾格菲国,Error
CO,中国脐带,3亿
GPRC,冠威塑料,187万
RCON,研控科技,1037万
ABAT,中强能源,5481万
HOLI,和利时自,13亿
KONE,联合信息,379万
SPU,天人果汁,2932万
CIIC,中国基础,160万
AMCF,星源燃料,1483万
CPHI,中国医药,1438万
APWR,高科能源,Error
CREG,盈丰科技,5850万
SINO,中环球船,1029万
JGBO,江波制药,Error
CPSL,中国精密,314万
CHNG,西蓝公司,Error
SCOK,泓利煤焦,7092万
SCEI,中国清洁,470万
CLNT,中国风能,1462万
CHIO,智远天下,Error
CXDC,鑫达集团,2亿
CELM,岳鹏成电,Error
CJJD,九洲大药,3181万
CCM,泰和诚医,2亿
TPI,天银制药,1322万
SBAY,数百亿,Error
ALN,绿润集团,3317万
BSPM,奥星制药,1733万
CDII,华达产业,228万
CALI,中国汽车,508万
SKBI,天星生物,4034万
DHRM,德海尔医,1875万
CHGS,耕生矿物,26万
SVA,科兴生物,2亿
CGA,中国绿色,4546万
VALV,圣恺工业,257万
NOEC,新东方能,-
BORN,博润,3780万
ONP,东方纸业,2275万
CHRM,昌荣传播,1亿
OSN,奥盛创新,1691万
ZA,左岸,1552万
QIHU,奇虎360,75亿
VNET,世纪互联,9亿
RENN,人人公司,9亿
NQ,网秦,3亿
DATE,世纪佳缘,1亿
FENG,凤凰新媒,6亿
ZX,正兴集团,5625万
TAOM,淘米,1亿
CNIT,中国信息,1亿
VIPS,唯品会,109亿
CMGE,中国手游,6亿
YY,欢聚时代,35亿
DSWL,德卫,3291万
AAAE,AAA能源,Error
APWC,亚太电线,3524万
IMOS,南茂科技,6亿
AACAY,瑞声,Error
ACGBY,中国农行,Error
AGVO,宝生集团,Error
AHCHY,安徽海螺,Error
AICAF,中国国航,Error
AIDA,爱大制药,Error
AIVI,泛蓝国际,Error
AKRK,亚洲软木,Error
ALMMF,中铝公司,Error
AMVGF,澳科控股,Error
ANGGY,鞍钢,Error
CMFO,华宝明祥,326万
CPGI,胜达包装,3879万
AMCG,爱美柯,Error
AMGY,美国金属,Error
HPJ,豪鹏国际,7003万
LEDS,旭明光电,1936万
ARTB,艺术精品,Error
BACHY,中国银行,Error
BCAUY,华晨中国,Error
BCHM,北京世纪,Error
BCMXY,交通银行,Error
BDEV,中国企发,Error
BNSO,恒异电子,765万
EVK,华瑞服装,9507万
NEWN,新能源系,44万
CNR,中国新城,6398万
EGT,亚洲娱乐,1836万
BEER,清源啤酒,Error
BEIJF,北辰实业,Error
BELLY,百丽,Error
BFAR,亚洲生物,Error
BHKLY,中银香港,Error
BJCHF,首都国际,Error
BJINY,北京控股,Error
BKEAY,东亚银行,Error
SGOC,上为,2596万
CLWT,欧陆科仪,662万
GAI,全球科技,1652万
BOTRF,汉科环境,Error
BOTX,邦泰,Error
BSDGY,波司登,Error
BSHG,百隆东方,Error
IDI,晶立,2159万
BYDDF,比亚迪,Error
CABLF,中国 Cab,Error
CAGM,绿色材料,Error
HIHO,公路控股,1090万
QKLS,庆客隆,245万
KGJI,金凰珠宝,5941万
NFEC,能发伟业,972万
MPEL,新濠博亚,128亿
CAOVY,中国海外,Error
CARCY,华润水泥,Error
CASDY,中国中材,Error
CBEH,中国综合,-
CBGH,中国溢佰,Error
CBLUY,中海石油,Error
CBUMY,中国建材,Error
CBRAF,CBR酿造,Error
SSW,西斯班,17亿
CCCGY,中交股份,Error
JMHLY,怡和控股,Error
CBPO,泰邦生物,16亿
XHFNF,新华财经,Error
HGHN,泰科铁塔,Error
JPAK,青岛人印,Error
HGKGY,电能实业,Error
KEYP,科元石化,Error
HHGM,惠恒医疗,Error
KMSWF,信星鞋业,Error
HIGR,百丰电子,Error
XNFHF,三八妇乐,Error
HIIDY,恒鼎实业,Error
XNGSY,新奥能源,Error
XSELY,新华悦动,Error
XYIGF,信义玻璃,Error
HKAEY,港机工程,Error
YINGY,盈德气体,Error
YIPCF,叶氏化工,Error
JADA,佘太翠玉,Error
YYINE,亚亿国际,Error
KRYPY,嘉里建设,Error
ZHAOF,招金矿业,Error
PPCCY,中国人财,Error
JELCY,德昌电机,Error
HKXCF,港交所,Error
PSGP,美商百胜,Error
QING,红冠鞋业,Error
KURU,昆仑生物,Error
RDBO,乳多宝,Error
RNFU,荣福水产,Error
RNHEF,人和商业,Error
JEXYF,江苏宁沪,Error
SEXHF,成渝高速,Error
KWHAY,嘉华国际,Error
JEXYY,江苏宁沪,Error
SGHIY,上海实业,Error
JIXAY,江铜集团,Error
SHALY,香格里拉,Error
LEGE,乐君传媒,Error
SHANF,墨龙石油,Error
SHGXY,神冠控股,Error
LKHLY,龙工控股,Error
SHTDF,国药,Error
SHTGY,信得,Error
TRUHY,信利国际,Error
TSGTF,青岛啤酒,Error
TSYHY,中国航信,Error
TTNDY,创科实业,Error
XNWU,玄武集团,Error
LMPMY,理文造纸,Error
LTUS,莲花制药,Error
MAANF,马鞍山钢,Error
MAORF,文化东方,Error
MLLUY,冶金科工,Error
NANI,新逻辑动,Error
TVBCY,无线电视,Error
CEVIY,光大控股,Error
TXNM,天鑫矿业,Error
NIVS,纳伟仕视,Error
UOLI,优按网络,Error
CHME,康采恩,Error
NOBGF,来宝集团,Error
CCCL,中国陶瓷,1797万
WGHGY,永亨银行,Error
VTSYF,维他奶,Error
NWRLY,新世界百,Error
SLUXY,罗欣药业,Error
SLVA,银燕木业,Error
SNAS,中建担保,Error
SNFRY,中化化肥,Error
SNLAY,信和置业,Error
OPEI,东方石油,Error
UIBGF,联合经纪,Error
WGLD,三金国际,Error
HKXCY,港交所,Error
HLDCY,恒基兆业,Error
HLDVF,恒基兆业,Error
HLPPY,恒隆地产,Error
HMCTF,美兰股份,Error
HNLGF,恒隆集团,Error
HNLGY,恒隆集团,Error
HOKCY,煤气公司,Error
CHCC,嘉周化工,Error
HOWWY,合和实业,Error
CHCG,中国3C集,Error
SRRY,盛棵再生,Error
CHDA,中国数字,Error
HQGE,环球教育,Error
STTFY,数码通,Error
HRELF,海尔,Error
SUHJY,新鸿基,Error
CHDP,M&H石油,Error
CHEUY,长实,Error
SWRAY,太古,Error
HRELY,海尔,Error
SYUP,玉同药业,Error
HSNGY,恒生银行,Error
HSYT,家庭系统,Error
SOUG,搜三百,Error
HTCMY,日立建机,Error
HUABF,华宝国际,Error
HUIHY,华宝国际,Error
HUIY,惠影科技,Error
HYSNY,希慎兴业,Error
IDCBF,工商银行,Error
IDCBY,工商银行,Error
IDCX,华北园艺,Error
IICN,情报系统,Error
IINHY,意马,Error
IKTSY,天祥集团,Error
ZOOM,注目科技,36万
XYIGY,信义玻璃,Error
TSGTY,青岛啤酒,Error
CHPN,中国多肽,Error
CHPXY,中国太保,Error
CHWTF,中国无线,Error
CHHE,健康产业,Error
CHSY,康哲药业,Error
CICHY,中国建设,Error
ZHDM,中汇道明,Error
ZHEXF,沪杭甬高,Error
CITAY,中海集装,Error
ZHYLF,兆恒水电,Error
CICOY,中国远洋,Error
CIDHY,中粮,Error
CHSTY,中国传动,Error
CIVN,协同教学,Error
CIFHY,中渔集团,Error
CIHD,常达国际,Error
CIHKY,招商银行,Error
ZIJMF,紫金矿业,Error
CHOR,中国有机,Error
ZLIOY,中联重科,Error
ZTCOF,中兴通讯,Error
CHLBF,中国卫生,Error
CIWT,中国工业,Error
