SINA,新浪
SOHU,搜狐
NTES,网易
BIDU,百度
NCTY,第九城市
PWRD,完美世界
KZ,空中网
JRJC,金融界
CTRP,携程网
JOBS,前程无忧
LONG,艺龙
UTSI,UT斯达康
CNTF,泰克飞石
SMI,中芯国际
VIMC,中星微电
ACTS,炬力
EDU,新东方
HMIN,如家快捷
VISN,华视传媒
EJ,易居中国
AMCN,航美传媒
ACH,中国铝业
CEO,中海油
CYD,玉柴国际
GSH,广深铁路
CHL,中移动
LFC,中国人寿
SORL,瑞立集团
CHA,中国电信
MR,迈瑞
SNP,中石化
SHI,上石化
YZC,兖州煤业
CEA,东方航空
EFUT,富基旋风
HNP,华能电力
JST,海南金盘
ZNH,南方航空
WX,药明康德
NPD,深圳海王
CSIQ,阿特斯
CBAK,比克电池
CAAS,中汽系统
CHNR,中国天然
NDAC,新龙亚洲
FFHL,富维薄膜
NTE,南太电子
DL,正保教育
NED,诺亚舟
STV,永新视博
XIN,鑫苑置业
ATV,橡果国际
GRO,中冠农业
GSI,通用钢铁
SOL,昱辉阳光
TSL,天合光能
WH,WSP控股
YGE,英利
CSUN,中电光伏
CISG,泛华保险
HIMX,奇景光电
JASO,晶澳太阳
OIIM,凹凸科技
SIMO,慧荣科技
HSOL,韩华新能
PTR,中石油
CHU,中国联通
ASX,日月光半
AUO,友达光电
TSM,台积电
UMC,联电
SPIL,矽品
GIGM,和信超媒
CYOU,畅游
GAME,盛大游戏
CTC,21世纪不
HTHT,华住酒店
CHT,中华电信
SYUT,圣元国际
KUTV,酷6网
CCGM,联游网络
SFUN,搜房网
DYNP,多元印刷
CCSC,乡村基
MY,明阳风电
CCIH,蓝汛
XRS,好未来
MCOX,麦考林
GAGA,利农国际
XUE,学大教育
NOAH,诺亚财富
BITA,易车网
XNY,希尼亚
KNDI,康迪车业
CHOP,河南鸽瑞
EDS,喜得龙
CNET,中网在线
ATAI,ATA公司
THTI,巨元瀚洋
OINK,丰泽农牧
LIWA,利华国际
YUII,山东昱合
CHLN,中华地产
HEAT,太宇机电
TXIC,同心国际
JKS,晶科能源
SUTR,森特集团
RINO,绿诺科技
DQ,大全新能
CRTP,瑞达电源
CHBT,中国生物
HGSH,汉广厦房
SEED,奥瑞金种
BEST,赛诺国际
WATG,万得汽车
YOKU,优酷土豆
DANG,当当
BONA,博纳影业
MOBI,斯凯
LAS,联拓
CNYD,易达控股
CCME,中国高速
FUQI,福麒国际
GSOL,环球资源
GURE,海湾资源
CAST,双威教育
CADC,新奥混凝
JFC,JF中国基
WUHN,武汉通用
FEED,艾格菲国
CO,中国脐带
GPRC,冠威塑料
RCON,研控科技
ABAT,中强能源
HOLI,和利时自
KONE,联合信息
SPU,天人果汁
CIIC,中国基础
AMCF,星源燃料
CPHI,中国医药
APWR,高科能源
CREG,盈丰科技
SINO,中环球船
JGBO,江波制药
CPSL,中国精密
CHNG,西蓝公司
SCOK,泓利煤焦
SCEI,中国清洁
CLNT,中国风能
CHIO,智远天下
CXDC,鑫达集团
CELM,岳鹏成电
CJJD,九洲大药
CCM,泰和诚医
TPI,天银制药
SBAY,数百亿
ALN,绿润集团
BSPM,奥星制药
CDII,华达产业
CALI,中国汽车
SKBI,天星生物
DHRM,德海尔医
CHGS,耕生矿物
SVA,科兴生物
CGA,中国绿色
VALV,圣恺工业
NOEC,新东方能
BORN,博润
ONP,东方纸业
CHRM,昌荣传播
OSN,奥盛创新
ZA,左岸
QIHU,奇虎360
VNET,世纪互联
RENN,人人公司
NQ,网秦
DATE,世纪佳缘
FENG,凤凰新媒
ZX,正兴集团
TAOM,淘米
CNIT,中国信息
VIPS,唯品会
CMGE,中国手游
YY,欢聚时代
DSWL,德卫
AAAE,AAA能源
APWC,亚太电线
IMOS,南茂科技
AACAY,瑞声
ACGBY,中国农行
AGVO,宝生集团
AHCHY,安徽海螺
AICAF,中国国航
AIDA,爱大制药
AIVI,泛蓝国际
AKRK,亚洲软木
ALMMF,中铝公司
AMVGF,澳科控股
ANGGY,鞍钢
CMFO,华宝明祥
CPGI,胜达包装
AMCG,爱美柯
AMGY,美国金属
HPJ,豪鹏国际
LEDS,旭明光电
ARTB,艺术精品
BACHY,中国银行
BCAUY,华晨中国
BCHM,北京世纪
BCMXY,交通银行
BDEV,中国企发
BNSO,恒异电子
