股票代码	股票名称	当前价	涨跌额	涨跌幅	当日股价幅度	52周股价幅度	市值	市盈率	成交量	操作
CNET	中网在线	1.86	+0.50	+36.76%	1.53 - 2.25	0.550 - 4.06	4162.04万	14.31	483.00万	关注
ABAT	中强能源	0.340	+0.03	+10.93%	0.310 - 0.340	0.170 - 1.10	2580.00万	0.62	3.16万	关注
MY	明阳风电	2.34	+0.19	+8.84%	2.16 - 2.34	1.84 - 4.34	2.85亿	-	88.10万	关注
DQ	大全新能	35.66	+2.54	+7.67%	33.19 - 35.66	21.78 - 56.98	2.47亿	9.96	8.23万	关注
CDII	华达产业	0.060	+0.00	+7.51%	0.060 - 0.060	0.040 - 0.140	360.00万	-	5480.00	关注
CMGE	中国手游	18.68	+1.26	+7.23%	17.50 - 18.81	12.58 - 40.31	5.88亿	69.19	23.22万	关注
CVVT	中国阀门	0.460	+0.03	+6.98%	0.430 - 0.460	0.430 - 0.450	1662.00万	0.51	5.86万	关注
ATHM	汽车之家	43.59	+2.56	+6.24%	41.16 - 44.53	26.00 - 57.93	45.83亿	53.16	65.06万	关注
EJ	易居中国	8.84	+0.51	+6.12%	8.33 - 8.89	7.39 - 17.28	11.93亿	22.67	63.92万	关注
HGSH	汉广厦房	3.19	+0.18	+5.98%	3.02 - 3.31	2.10 - 10.50	1.44亿	4.51	4.77万	关注
SGOC	上为集团	1.52	+0.08	+5.56%	1.45 - 1.52	1.27 - 8.33	2684.37万	2.49	5.34万	关注
TEDU	达内科技	11.34	+0.59	+5.49%	10.75 - 11.38	6.54 - 15.85	5.74亿	-	18.97万	关注
CLNT	中国风能	3.10	+0.16	+5.44%	2.94 - 3.10	2.91 - 7.39	1197.00万	1.24	4606.00	关注
DANG	当当网	10.58	+0.53	+5.27%	10.10 - 10.65	7.69 - 19.05	8.51亿	10.69	108.00万	取消
CREG	中国循环	1.21	+0.06	+5.22%	1.16 - 1.22	1.02 - 6.05	7374.47万	4.48	14.50万	关注
FENG	凤凰新媒	8.91	+0.42	+4.95%	8.50 - 8.94	8.08 - 13.58	6.87亿	16.81	21.04万	取消
CCM	泰和诚医	7.19	+0.33	+4.81%	6.84 - 7.19	4.91 - 10.08	3.25亿	-	7.77万	关注
SUTR	森特集团	0.670	+0.03	+4.69%	0.650 - 0.690	0.570 - 2.54	2775.14万	1.34	1905.00	关注
