股票代码	股票名称	当前价	涨跌额	涨跌幅	当日股价幅度	52周股价幅度	市值	市盈率	成交量	操作
GTAT	GT Advan	0.475	+0.09	+21.77%	0.380 - 0.535	0.380 - 20.54	6188.00万	-	2010.19万	关注
FCEL	燃料电池	1.74	+0.16	+10.13%	1.56 - 1.75	1.21 - 4.74	4.94亿	-	298.46万	关注
BLDP	巴拉德动	2.74	+0.24	+9.60%	2.50 - 2.74	1.25 - 8.38	3.88亿	-	84.02万	关注
ZBB	ZBB ENER	0.712	+0.05	+8.21%	0.690 - 0.735	0.400 - 4.75	2791.00万	-	17.63万	关注
MXWL	Maxwell	8.17	+0.59	+7.78%	7.62 - 8.17	6.75 - 18.43	2.43亿	99.73	27.02万	关注
DAL	达美航空	33.12	+2.22	+7.18%	31.28 - 33.15	23.77 - 42.66	279.12亿	2.61	1483.15万	关注
QIWI	Qiwi	28.64	+1.86	+6.95%	27.17 - 28.70	26.14 - 59.24	14.91亿	106.07	37.27万	关注
RGSE	Real Goo	1.24	+0.08	+6.90%	1.15 - 1.24	1.10 - 5.65	6340.00万	-	7.08万	关注
MNKD	曼恩凯德	4.92	+0.31	+6.72%	4.56 - 4.95	3.80 - 11.48	19.80亿	-	241.63万	关注
YELP	Yelp	66.20	+4.08	+6.57%	62.74 - 66.59	49.11 - 101.75	47.67亿	-	204.00万	关注
P	潘多拉网	21.71	+1.31	+6.42%	20.67 - 21.81	20.31 - 40.44	50.16亿	-	325.29万	关注
SSYS	Stratasy	113.80	+6.61	+6.17%	108.97 - 114.08	85.30 - 138.10	54.20亿	-	40.40万	关注
HLF	康宝莱	46.49	+2.68	+6.12%	43.87 - 46.50	38.63 - 83.51	42.40亿	10.20	72.16万	关注
JCP	彭尼	7.48	+0.39	+5.50%	7.10 - 7.53	4.90 - 11.30	22.80亿	-	1294.93万	关注
IMAX	IMAX	27.98	+1.31	+4.91%	26.76 - 27.99	24.01 - 31.23	19.30亿	45.51	26.70万	关注
SCTY	SolarCit	50.72	+2.37	+4.90%	46.55 - 50.95	42.38 - 88.35	47.01亿	-	343.00万	关注
NVDA	英伟达	17.60	+0.82	+4.86%	16.92 - 17.64	14.52 - 20.15	95.30亿	19.11	384.46万	关注
AMBA	Ambarell	36.92	+1.68	+4.77%	34.84 - 36.97	19.20 - 46.78	10.90亿	39.18	85.70万	关注
HIMX	奇景光电	8.73	+0.39	+4.68%	8.33 - 8.76	5.70 - 16.15	14.90亿	16.30	220.09万	关注
SPWR	SunPower	28.22	+1.24	+4.60%	26.54 - 28.33	25.38 - 42.07	36.80亿	20.23	163.18万	关注
FSLR	第一太阳	52.82	+2.31	+4.57%	50.13 - 53.02	42.50 - 74.84	52.91亿	14.15	215.01万	取消
PLUG	普拉格能	4.42	+0.19	+4.49%	4.16 - 4.45	0.450 - 11.72	7.40亿	-	402.41万	取消
DATA	Tableau	67.61	+2.87	+4.43%	64.40 - 67.66	52.02 - 102.37	46.20亿	7715.60	57.27万	关注
DDD	3D Syste	41.66	+1.70	+4.25%	40.30 - 41.92	38.70 - 97.28	45.70亿	119.24	133.16万	关注
XONE	ExOne	19.68	+0.80	+4.24%	19.08 - 19.84	16.00 - 70.25	2.85亿	-	14.89万	关注
ARMH	ARM	41.17	+1.67	+4.23%	40.11 - 41.37	38.89 - 55.26	193.60亿	75.48	98.01万	取消
YNDX	Yandex	26.11	+1.03	+4.11%	25.23 - 26.19	21.70 - 45.42	83.00亿	21.23	87.42万	关注
GOGO	Gogo	15.36	+0.58	+3.92%	14.77 - 15.36	11.66 - 35.77	13.10亿	-	34.83万	关注
COH	Coach	35.41	+1.30	+3.81%	34.33 - 35.43	33.39 - 57.95	97.56亿	12.73	157.01万	关注
ZU	Zulily	37.23	+1.35	+3.76%	35.93 - 37.57	28.75 - 73.50	46.54亿	-	31.55万	关注
MU	美光科技	27.99	+0.96	+3.55%	27.22 - 28.39	16.17 - 34.85	299.70亿	9.20	2042.05万	关注
INTC	英特尔	32.57	+1.10	+3.50%	31.80 - 32.67	23.03 - 35.56	1613.04亿	16.16	2170.41万	关注
CAT	卡特彼勒	94.84	+3.16	+3.45%	92.39 - 95.01	81.87 - 111.46	595.30亿	15.80	259.02万	关注
SPLK	Splunk	53.02	+1.76	+3.43%	50.41 - 53.35	39.35 - 106.15	63.50亿	-	101.02万	关注
NYT	纽约时报	12.25	+0.40	+3.38%	11.93 - 12.26	11.22 - 17.37	18.30亿	43.57	18.85万	关注
BBY	百思买	30.70	+0.98	+3.30%	29.69 - 30.78	22.15 - 44.66	106.54亿	20.07	166.03万	关注
TSLA	特斯拉电	231.77	+7.18	+3.20%	223.00 - 232.47	116.10 - 291.42	285.52亿	-	385.00万	取消
IRBT	IRBT	33.12	+1.00	+3.11%	32.20 - 33.12	28.90 - 48.36	9.76亿	39.79	21.15万	关注
LNKD	LinkedIn	199.14	+6.01	+3.11%	193.21 - 199.61	136.02 - 253.66	244.76亿	-	50.70万	关注
