sh600000,浦发银行
sh600004,白云机场
sh600005,武钢股份
sh600006,东风汽车
sh600007,中国国贸
sh600008,首创股份
sh600009,上海机场
sh600010,包钢股份
sh600011,华能国际
sh600012,皖通高速
sh600015,华夏银行
sh600016,民生银行
sh600017,日照港
sh600018,上港集团
sh600019,宝钢股份
sh600020,中原高速
sh600021,上海电力
sh600022,山东钢铁
sh600023,浙能电力
sh600026,中海发展
sh600027,华电国际
sh600028,中国石化
sh600029,南方航空
sh600030,中信证券
sh600031,三一重工
sh600033,福建高速
sh600035,楚天高速
sh600036,招商银行
sh600037,歌华有线
sh600038,哈飞股份
sh600039,四川路桥
sh600048,保利地产
sh600050,中国联通
sh600051,宁波联合
sh600052,浙江广厦
sh600053,中江地产
sh600054,黄山旅游
sh600055,华润万东
sh600056,中国医药
sh600057,象屿股份
sh600058,五矿发展
sh600059,古越龙山
sh600060,海信电器
sh600061,中纺投资
sh600062,华润双鹤
sh600063,皖维高新
sh600064,南京高科
sh600066,宇通客车
sh600067,冠城大通
sh600068,葛洲坝
sh600069,银鸽投资
sh600070,浙江富润
sh600071,凤凰光学
sh600072,钢构工程
sh600073,上海梅林
sh600074,*ST中达
sh600075,新疆天业
sh600076,青鸟华光
sh600077,宋都股份
sh600078,澄星股份
sh600079,人福医药
sh600080,金花股份
sh600081,东风科技
sh600082,海泰发展
sh600083,博信股份
sh600084,中葡股份
sh600085,同仁堂
sh600086,东方金钰
sh600088,中视传媒
sh600089,特变电工
sh600090,啤酒花
sh600091,ST明科
sh600093,禾嘉股份
sh600094,大名城
sh600095,哈高科
sh600096,云天化
sh600097,开创国际
sh600098,广州发展
sh600099,林海股份
sh600100,同方股份
sh600101,明星电力
sh600103,青山纸业
sh600104,上汽集团
sh600105,永鼎股份
sh600106,重庆路桥
sh600107,美尔雅
sh600108,亚盛集团
sh600109,国金证券
sh600110,中科英华
sh600111,包钢稀土
sh600112,天成控股
sh600113,浙江东日
sh600114,东睦股份
sh600115,东方航空
sh600116,三峡水利
sh600117,西宁特钢
sh600118,中国卫星
sh600119,长江投资
sh600120,浙江东方
sh600121,郑州煤电
sh600122,宏图高科
sh600123,兰花科创
sh600125,铁龙物流
sh600126,杭钢股份
sh600127,金健米业
sh600128,弘业股份
sh600129,太极集团
sh600130,波导股份
sh600131,岷江水电
sh600132,重庆啤酒
sh600133,东湖高新
sh600135,乐凯胶片
sh600136,道博股份
sh600137,浪莎股份
sh600138,中青旅
sh600139,西部资源
sh600141,兴发集团
sh600143,金发科技
sh600145,国创能源
sh600146,大元股份
sh600148,长春一东
sh600149,廊坊发展
sh600150,中国船舶
sh600151,航天机电
sh600152,维科精华
sh600153,建发股份
sh600155,*ST宝硕
sh600156,华升股份
sh600157,永泰能源
sh600158,中体产业
sh600159,大龙地产
sh600160,巨化股份
sh600161,天坛生物
sh600162,香江控股
sh600163,福建南纸
sh600165,新日恒力
sh600166,福田汽车
sh600167,联美控股
sh600168,武汉控股
sh600169,太原重工
sh600170,上海建工
sh600171,上海贝岭
sh600172,黄河旋风
sh600173,卧龙地产
sh600175,美都控股
sh600176,中国玻纤
sh600177,雅戈尔
sh600178,东安动力
sh600179,黑化股份
sh600180,瑞茂通
sh600182,S佳通
sh600183,生益科技
