Name,粉丝数
平安银行 (SZ:000001),14226
万科A (SZ:000002),38100
国农科技 (SZ:000004),723
世纪星源 (SZ:000005),248
深振业A (SZ:000006),610
零七股份 (SZ:000007),451
宝利来 (SZ:000008),232
中国宝安 (SZ:000009),3114
深华新 (SZ:000010),483
深物业A (SZ:000011),413
南玻A (SZ:000012),2037
沙河股份 (SZ:000014),626
深康佳A (SZ:000016),732
深中华A (SZ:000017),247
中冠A (SZ:000018),158
深深宝A (SZ:000019),338
深华发A (SZ:000020),141
长城开发 (SZ:000021),724
深赤湾A (SZ:000022),799
深天地A (SZ:000023),94
招商地产 (SZ:000024),3788
特力A (SZ:000025),342
飞亚达A (SZ:000026),843
深圳能源 (SZ:000027),974
国药一致 (SZ:000028),1898
深深房A (SZ:000029),247
富奥股份 (SZ:000030),416
中粮地产 (SZ:000031),1415
深桑达A (SZ:000032),271
*ST新都 (SZ:000033),283
深信泰丰 (SZ:000034),416
中国天楹 (SZ:000035),476
华联控股 (SZ:000036),533
深南电A (SZ:000037),126
深大通 (SZ:000038),218
中集集团 (SZ:000039),3829
宝安地产 (SZ:000040),146
中洲控股 (SZ:000042),290
中航地产 (SZ:000043),549
深纺织A (SZ:000045),501
泛海控股 (SZ:000046),472
康达尔 (SZ:000048),265
德赛电池 (SZ:000049),3263
深天马A (SZ:000050),4802
方大集团 (SZ:000055),461
深国商 (SZ:000056),569
深赛格 (SZ:000058),554
华锦股份 (SZ:000059),1352
中金岭南 (SZ:000060),1425
农产品 (SZ:000061),1391
深圳华强 (SZ:000062),1408
中兴通讯 (SZ:000063),9987
北方国际 (SZ:000065),584
长城电脑 (SZ:000066),563
华控赛格 (SZ:000068),595
华侨城A (SZ:000069),3886
特发信息 (SZ:000070),289
海王生物 (SZ:000078),1204
盐田港 (SZ:000088),1413
深圳机场 (SZ:000089),832
天健集团 (SZ:000090),492
广聚能源 (SZ:000096),873
中信海直 (SZ:000099),1572
TCL集团 (SZ:000100),7611
宜华地产 (SZ:000150),380
中成股份 (SZ:000151),882
丰原药业 (SZ:000153),410
川化股份 (SZ:000155),410
华数传媒 (SZ:000156),3485
中联重科 (SZ:000157),5626
常山股份 (SZ:000158),309
国际实业 (SZ:000159),1035
东方市场 (SZ:000301),360
美的集团 (SZ:000333),6729
潍柴动力 (SZ:000338),4178
许继电气 (SZ:000400),3029
冀东水泥 (SZ:000401),1175
金融街 (SZ:000402),3108
*ST生化 (SZ:000403),3141
华意压缩 (SZ:000404),733
胜利股份 (SZ:000407),605
金谷源 (SZ:000408),167
山东地矿 (SZ:000409),451
沈阳机床 (SZ:000410),1199
英特集团 (SZ:000411),289
东旭光电 (SZ:000413),3028
渤海租赁 (SZ:000415),1365
民生控股 (SZ:000416),572
合肥百货 (SZ:000417),923
小天鹅A (SZ:000418),919
通程控股 (SZ:000419),791
吉林化纤 (SZ:000420),403
南京中北 (SZ:000421),294
湖北宜化 (SZ:000422),900
东阿阿胶 (SZ:000423),11625
徐工机械 (SZ:000425),1975
