Name,52周最高,52周最低,总市值,每股净资产,市盈率,总股本,每股收益,市净率,30日均量,流通股本,股息率,市销率
sz000001,23.28,8.97,1180.19亿,10.59,7.75/6.64,114.25亿,0.88,0.98,6653.35万,98.31亿,1.53%,1.88
sz000002,12.61,6.52,1042.02亿,6.98,6.89/6.78,110.15亿,0.44,1.36,7471.01万,96.69亿,4.26%,0.79
sz000005,2.98,2.05,24.87亿,0.66,-/-,9.14亿,-0.03,4.15,1588.22万,9.12亿,-,46.03
sz000006,6.10,3.63,74.65亿,2.88,10.72/15.71,13.50亿,0.04,1.92,2086.76万,13.38亿,2.77%,1.92
sz000007,19.80,11.10,35.38亿,1.64,152.07/192.34,2.31亿,-0.02,9.33,2.22万,2.06亿,-,15.60
sz000009,14.96,8.52,219.31亿,2.22,75.00/44.62,15.05亿,0.15,6.56,4907.56万,14.89亿,0.20%,5.60
sz000010,23.87,4.83,47.28亿,1.04,1505.71/-,5.88亿,-0.01,7.70,1185.37万,3.57亿,-,14.40
sz000011,9.60,6.01,47.92亿,2.96,15.93/80.78,5.96亿,0.19,2.71,790.59万,1.76亿,3.11%,5.11
sz000012,12.06,6.64,158.76亿,3.86,10.34/8.96,20.75亿,0.28,1.98,2649.60万,13.03亿,3.89%,2.15
sz000014,12.99,6.76,25.46亿,3.12,88.53/41.88,2.02亿,0.12,4.04,363.56万,2.02亿,0.12%,5.01
sz000016,5.19,2.65,59.60亿,3.42,131.96/119.25,12.04亿,0.04,1.45,1835.75万,5.99亿,0.20%,0.31
sz000017,7.98,4.18,43.17亿,0.02,2.74/2.69,5.51亿,0.00,486.34,407.56万,3.03亿,-,15.98
sz000019,9.20,5.98,26.56亿,3.10,60.82/101.30,3.01亿,-0.08,2.84,384.45万,2.52亿,2.28%,8.08
sz000021,7.11,4.09,97.84亿,3.25,42.55/73.14,14.71亿,-0.01,2.04,1862.18万,13.18亿,0.75%,0.64
sz000022,18.48,9.00,93.75亿,6.10,18.64/21.18,6.45亿,0.37,2.38,306.66万,4.65亿,2.64%,5.31
sz000024,30.80,10.12,314.52亿,10.76,7.48/9.15,25.76亿,0.69,1.13,3518.97万,10.26亿,3.94%,0.97
sz000025,11.70,5.42,24.30亿,0.89,352.09/284.69,2.20亿,0.02,12.36,238.05万,1.79亿,-,4.80
sz000026,9.74,6.15,36.92亿,4.04,28.37/24.73,3.93亿,0.23,2.33,569.53万,3.11亿,1.05%,1.16
sz000027,6.99,4.98,182.10亿,6.30,12.53/9.84,26.43亿,0.39,1.09,1430.39万,9.58亿,3.70%,1.36
sz000028,58.19,25.65,186.03亿,12.29,35.74/30.55,3.63亿,1.07,4.17,136.05万,2.33亿,0.36%,0.81
sz000029,4.95,2.94,46.23亿,1.88,20.25/18.50,10.12亿,0.03,2.44,737.77万,8.92亿,-,1.95
sz000030,9.49,5.32,99.09亿,3.08,18.25/16.87,12.99亿,0.25,2.48,983.01万,4.97亿,1.34%,1.82
sz000031,5.70,3.14,96.85亿,2.96,18.12/17.19,18.14亿,0.08,1.80,7202.51万,18.14亿,0.56%,1.01
sz000034,7.60,3.50,26.42亿,0.43,157.56/41.73,3.58亿,0.14,16.97,956.38万,3.40亿,-,4.68
sz000035,13.40,9.86,69.87亿,1.68,6.17/5.89,5.67亿,0.15,7.32,551.29万,1.89亿,-,68.15
sz000036,3.97,2.40,42.93亿,1.67,53.79/54.44,11.24亿,0.00,2.29,2561.89万,11.24亿,-,19.68
sz000037,4.98,3.38,29.17亿,2.53,54.94/36.75,6.03亿,-0.12,1.91,520.58万,3.39亿,-,2.69
